pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿En qué año se produjo la Revolución de Mayo? (1),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (2),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (3),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (4),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (5),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (6),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (7),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (8),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (9),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (10),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (11),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (12),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (13),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (14),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (15),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (16),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (17),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (18),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (19),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (20),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (21),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (22),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (23),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (24),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (25),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (26),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (27),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (28),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (29),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (30),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (31),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (32),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (33),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (34),Belgrano,Moreno,López y Planes,Alberdi,3
¿Qué día se celebra la independencia argentina? (35),9 de julio,25 de mayo,20 de junio,17 de agosto,1
¿En qué año se produjo la Revolución de Mayo? (36),1810,1816,1806,1820,1
¿Quién fue Juan Manuel de Rosas? (37),Presidente,Gobernador de Buenos Aires,General del Perú,Virrey,2
¿Qué batallas ganó San Martín? (38),Chacabuco,Waterloo,Boyacá,Ayacucho,1
¿Quién escribió el himno nacional argentino? (39),Belgrano,Moreno,López y Planes,Alberdi,3
